Nom,Analyse,"Bibliographie ",Catégorie,Chronologie,Commentaire,Conservation,"Dimensions (H, l, ép.)",Divinités,Dynastie,Iconographie,"Image / Fac-similé ","Lexique ""Désert""",Locus,Matière,Roi,"Répertoire textuel ",Site,Technique,Titres de particuliers,Traduction,Translittération,Type d'écriture,Type de cintrage,Type de sacralisation,Épithètes
Stèle SA 553,Commentaire :,Gebel Zeit II - Le matériel inscrit,Stèle,DPi,,Fragment de la partie centrale.,"h. 17cm ; l. 15cm ; ép. 3,8cm","Hathor, Horus",XVIIe - XVIIIe dynastie,"Le dieu Horus tourné vers la gauche, coiffé d’un couronne composé d’un mortier orné d’un disque solaire où sont fichées deux hautes plumes à sept doubles divisions lunulaires. il tient de sa main gauche, un sceptre (ouas). Il est face à la déesse Hathor, tournée vers la gauche et parée de la coiffure hathorique. Elle respire une fleur de lotus qu’elle tient de la main droite, de la main gaiche elle tient un sgine ankh. un bandeau supérieure et un lisière déimitent la scène.",,,"site 1, dépôt du sanctuaire",Calcaire,,,Gebel Zeit,Stèle gravée. Traces de peinture noire au niveau du bandeau d’Hathor et du sceptre ouas.,,,,,,,
Stèle SA 794,Commentaire : Stèle semble avoir été apportée de la Vallée.,Gebel Zeit II - Le matériel inscrit,Stèle,DPi,,Fragment correspondant à la base.,"h. 7,7cm ; l. 14cm ; ép. 3cm","Hathor, Min",XVIIe - XVIIIe dynastie,"Une table offrande chargée de victuailles est représentée au milieu de la stèle. Hathor se tient du côté droit de la table, debout et tournée vers la gauche, tenant un sceptre. De l’autre côté le dieu Min momiforme, surélevé par un object rectangulaire et tourné vers la droite. Derrière lui, le jardin portatif du dieu avec ses laitues. ",,,"site 1, soubassement du sanctuaire",Calcite,,,Gebel Zeit,Stèle gravée.,,,,,,,
Stèle SA 551,Commentaire :,Gebel Zeit II - Le matériel inscrit,Stèle,"Incertaine, Nouvel Empire",,Fragment correspondant à la moitié inférieure de la stèle.,"h. 11,5cm ; l. 14cm ; ép. 2,4cm",,XVIIIe dynastie,"Un personnage masculin debout tourné vers la gauche se tient face à une divinité féminine tournée vers la droite (probablement Hathor), tenant de sa main droite un signe ankh. ",,,"site 1, dépôt du sanctuaire",Calcaire,,,Gebel Zeit,figures et signes en relief dans le creux. Traces de peinture rouge (jambes) et noire (signes).,,,,,,,
SEH 2,,Les inscriptions de Séhel,Inscription rupestre,Ancien Empire,,,,,IVe - Ve dynastie,,,,Bibi togog ouest,,,"Auto-présentation (avec/sans filiation), Signature",Séhel,,Le directeur de (la forteresse) d’Éléphantine,,,Hiéroglyphes,,,
SEH 3,Titres de particuliers : Prince ; ami unique ; prêtre lecteur ; chancelier du roi de Basse-Égypte,Les inscriptions de Séhel,Inscription rupestre,Ancien Empire,,,,,VIe dynastie,,,,Bibi togog ouest,,,"Auto-présentation (avec/sans filiation), Signature",Séhel,,,,,Hiéroglyphes,,,
SEH 4,Titres de particuliers : Prince ; ami unique ; prêtre lecteur,Les inscriptions de Séhel,Inscription rupestre,Ancien Empire,,,,,VIe dynastie,,,,Bibi togog ouest,,,"Auto-présentation (avec/sans filiation), Signature",Séhel,,,,,Hiéroglyphes,,,
SEH 5,Titres de particuliers :,Les inscriptions de Séhel,Inscription rupestre,Ancien Empire,,,,,VIe dynastie,,,,Bibi togog ouest,,Pépy II,,Séhel,,,,,Hiéroglyphes,,,
SEH 6,Titres de particuliers : Ami unique ; prêtre lecteur,Les inscriptions de Séhel,Inscription rupestre,Ancien Empire,,,,,VIe dynastie,,,,Bibi togog ouest,,Pépy II,"Auto-présentation (avec/sans filiation), Signature",Séhel,,,,,Hiéroglyphes,,,
SEH 7,Titres de particuliers : Chancelier du roi de Basse-Égypte ; ami unique ; prêtre lecteur,Les inscriptions de Séhel,Inscription rupestre,Ancien Empire,,,,,VIe dynastie,,,,Bibi togog ouest,,Pépy II,"Auto-présentation (avec/sans filiation), Signature",Séhel,,,,,Hiéroglyphes,,,
SEH 8,Titres de particuliers : Chancelier du roi de Basse-Égypte ; ami unique ; prêtre lecteur ; prince,Les inscriptions de Séhel,Inscription rupestre,Ancien Empire,,,,,VIe dynastie,,,,Bibi togog ouest,,Pépy II,"Auto-présentation (avec/sans filiation), Signature",Séhel,,,,,Hiéroglyphes,,,
SEH 9,Titres de particuliers : ami unique ; prêtre lecteur ; prince,Les inscriptions de Séhel,Inscription rupestre,Ancien Empire,,,,,VIe dynastie,,,,Bibi togog ouest,,Pépy II,"Auto-présentation (avec/sans filiation), Signature",Séhel,,,,,Hiéroglyphes,,,
SEH 10,,Les inscriptions de Séhel,Inscription rupestre,Ancien Empire,,,,,VIe dynastie,,,,Bibi togog ouest,,Pépy II,"Auto-présentation (avec/sans filiation), Inscription d'expédition, Signature",Séhel,,Le dignitaire du roi ; chef des auxiliaires nubiens ; chancelier du roi de Basse-Égypte ; ami unique ; prêtre-lecteur ; juge ; scribe ; capitaine de navire,,,Hiéroglyphes,,,
SEH 11,,Les inscriptions de Séhel,Inscription rupestre,Ancien Empire,,,,,VIe dynastie,,,,Bibi togog ouest,,Pépy II,"Auto-présentation (avec/sans filiation), Inscription d'expédition, Signature",Séhel,,Commandant des auxiliaires nubiens ; juge ; directeur des scribes,,,Hiéroglyphes,,,
SEH 12,,Les inscriptions de Séhel,Inscription rupestre,Ancien Empire,,,,,VIe dynastie,"À gauche, un homme debout tourné vers la droite et tenant de la main gauche un bâton de dignitaire.",,,Bibi togog ouest,,Pépy II,"Auto-présentation (avec/sans filiation), Signature",Séhel,,chef des scribes des équipages ; supérieur des secrets de toutes les affaires,,,Hiéroglyphes,,,
SEH 13,,Les inscriptions de Séhel,Inscription rupestre,Ancien Empire,Un père portant des titres importants accompagné de son fils sans titre.,,,,VIe dynastie,,,,Bibi togog ouest,,Pépy II,"Auto-présentation (avec/sans filiation), Signature",Séhel,,serviteur du roi ; directeur des scribes des équipages ; capitaine du navire ; directeur des scribes,,,Hiéroglyphes,,,
SEH 14,,Les inscriptions de Séhel,Inscription rupestre,Ancien Empire,,,,,VIe dynastie,"Une série de quatre personnages tournés vers la droite. Le premier et le dernier homme tiennent de la main gauche un bâton de dignitaire ; le dernier tient également, de la main droite, une pièce d'étoffe.",,,Hussein togog est,,Pépy II,"Auto-présentation (avec/sans filiation), Signature",Séhel,,digniteur du roi ; chef des auxiliaires nubiens,,,Hiéroglyphes,,,
SEH 15,,Les inscriptions de Séhel,Inscription rupestre,Ancien Empire,,,,,VIe dynastie,,,,Bibi togog ouest,,,"Auto-présentation (avec/sans filiation), Signature",Séhel,,ami unique,,,Hiéroglyphes,,,
SEH 16,,Les inscriptions de Séhel,Inscription rupestre,Ancien Empire,,,,,VIe dynastie,,,ḫȝs.wt (pays étrangers),Bibi togog ouest,,,"Auto-présentation (avec/sans filiation), Signature",Séhel,,ami unique ; prince héréditaire ; chancelier du roi de Basse-Égypte ; prêtre-lecteur ; directeur des pays étrangers,,,Hiéroglyphes,,,
SEH 17,,Les inscriptions de Séhel,Inscription rupestre,Ancien Empire,,,,,VIe dynastie,,,,Bibi togog ouest,,,"Auto-présentation (avec/sans filiation), Signature",Séhel,,ami unique ; prince ; prêtre-lecteur ;,,,Hiéroglyphes,,,
SEH 18,,Les inscriptions de Séhel,Inscription rupestre,Ancien Empire,,,,,VIe dynastie,,,,Bibi togog ouest,,,"Auto-présentation (avec/sans filiation), Signature",Séhel,,prince ;,,,Hiéroglyphes,,,
Stèle GZ 61,,Gebel Zeit II - Le matériel inscrit,Stèle,"Incertaine, Nouvel Empire",,Stèle fragmentaire ; la partie supérieure manque et elle est fortement érodée sur le côté droit.,"h. 14,5 cm ; l. 14 cm ; ép. 6 cm",Hathor,,"Surface délimitée par une liseré, est composée d’un bandeau d’inscription surmonté de la scène suivante : Un roi (tourné vers la gauche) vêtu d’un pagne triangulaire à ceinture et à devanteau double uraeus, orné de la queue cérémonielle, il présente deux vases nou à une déesse anthropomorphe (tournée vers la droite) vêtue d’une longue robe fourreau. Les ras reposant le long u corps, elle tient de la main gauche un sceptre ouadj et un signe Ankh de la main droite. Très probablement Hathor.",,,"site 1, surface",Calcaire,,"Formule d'offrande, Prière",Gebel Zeit,Inscription gravée,,,,Hiéroglyphes,,,
Stèle SA 421,,Gebel Zeit II - Le matériel inscrit,Stèle,"Incertaine, Nouvel Empire",,Fragment de la partie médiane. Traces de peinture rouge et noire..,"h. 9,7cm ; l. 10,5cm ; ép. 2,8cm",Hathor,,"Probablement un souverain tourné vers la droite et coiffé d’une couronne difficilement identifiable (mais probablement une couronne pschent) et vêtu d’un pagne empesé, avec le bras droit le long du corps et le gauche fléchi, faisant peut-être une offrande. Il ne touche pas le sol. Il est représenté au milieu de deux divines en taille héroïque. Derrière lui une déesse féminine (probablement Hathor dans sa forme anthropomorphe) tournée vers la droite vêtue d’une longue robe-fourreau, avec le bras droit le long du corps et le gauche fléchi.",,,"site 1, sanctuaire",Calcaire,,,Gebel Zeit,figures gravées,,,,,,,
Stèle SA 741,,Gebel Zeit II - Le matériel inscrit,Stèle,Incertaine,,Fragment correspondant à un morceau de la partie inférieure. .,"h. 4,5cm ; l. 4,8cm ; ép. 0,7cm",,,Possiblement une représentation du roi tourné vers la droite et une divinité (Hathor ?) enlacés (?).,,,"site 1, soubassement du sanctuaire",Calcaire,,,Gebel Zeit,figures incisées,,,,,,,
Stèle SA 486,,Gebel Zeit II - Le matériel inscrit,Stèle,Incertaine,,Fragment de la partie inférieure. Très mal conservé.,"h. 9cm ; l. 19,5cm ; ép. 7,5cm",,,,,,"site 1, sanctuaire",Calcaire,,"Auto-présentation (avec/sans filiation), Formule d'offrande",Gebel Zeit,signes gravés,Chancelier du roi ; ami unique,,,Hiéroglyphes,,,
Stèle SA 554,,Gebel Zeit II - Le matériel inscrit,Stèle,Incertaine,"L’inscription, bien que relative à Hathor, n’est pas orientée dans le même sens que la déesse.",Fragment de l’extrémité gauche de la partie médiane.,"h. 12,6cm ; l. 6,9cm ; ép. 2,2cm",Hathor,,"Hathor tournée vers la gauche sous son aspect anthropomorphe, vêtue d’une longue robe-fourreau et portant une couronne composée d’un disque solaire cerné de deux cornes et orné d’un uraeus.",,ḫȝs.wt - contrées désertiques,"site 1, sanctuaire",Calcaire,,Prière,Gebel Zeit,Figures et hiéroglyphes en relief dans le creux.,,,,Hiéroglyphes,,,Maîtresse des contrées désertiques
Stèle SA 555,,Gebel Zeit II - Le matériel inscrit,Stèle,Incertaine,,Fragment de la partie supérieure de la stèle..,"h. 7,6cm ; l. 10,8cm ; ép. 2,2cm","Maât, Rê",,,,,"site 1, sanctuaire",Calcite,,Titulature royale,Gebel Zeit,Stèle cintrée. Signes gravés.,,,,Hiéroglyphes,,,Celui de Béhédet ; le grand dieu
Stèle SA 800,,Gebel Zeit II - Le matériel inscrit,Stèle,DPi,,bonne ; stèle entière.,"h. 29,2cm ; l. 14,8cm ; ép. 12,2cm",Hathor,XIIIe - début XVIe dynastie,,,,"site 2, enclos 398",Grès,Sbk-ḥtp (Sobekhotep),"Auto-présentation (avec/sans filiation), Signature",Gebel Zeit,inscription incisée.,Contrôleur des sa-per,,,Hiéroglyphes,,,
Stèle SA 312,,Gebel Zeit II - Le matériel inscrit,Stèle,"DPi, Incertaine","C’est la stèle d’une femme, toute seule !",bonne ; éclat dans la partie inférieure.,"h. 18,3cm ; l. 14cm ; ép. 11,1cm",,XIIIe - début XVIe dynastie,,,,"site 2, enclos 398",Grès,,"Auto-présentation (avec/sans filiation), Signature",Gebel Zeit,inscription incisée.,Maîtresse de maison,,,Hiéroglyphes,,,
Stèle SA 383,,Gebel Zeit II - Le matériel inscrit,Stèle,"DPi, Incertaine",,Inscription en partie effacée et difficilement lisible. Verso de la stèle aujourd’hui illisible.,"h. 34cm ; l. 23cm ; ép. 9,7cm",,XIIIe - début XVIe dynastie,,,,"site 2, enclos 380",Grès,,"Auto-présentation (avec/sans filiation), Signature",Gebel Zeit,inscription incisée.,Connu du roi,,,Hiéroglyphes,,,
Stèle SA 384,,Gebel Zeit II - Le matériel inscrit,Stèle,"DPi, Incertaine",,"Assez mauvaise, partie droite manquante.","h. 34cm ; l. 24cm ; ép. 9,5cm",,XIIIe - début XVIe dynastie,,,,"site 2, enclos 380",Grès,,"Auto-présentation (avec/sans filiation), Signature",Gebel Zeit,inscription incisée.,Connu du roi,,,Hiéroglyphes,,,
